DS_PS_Ids	DS_PS_LFC	DS_PS_Genus	AN_PS_Ids	AN_PS_LFC	AN_PS_Genus	DS_Ne_IDs	DS_Ne_LFC	DS_Ne_Genus	AN_Ne_IDs	AN_Ne_LFC	AN_Ne_Genus	DS_Ba_IDs	DS_Ba_LFC	DS_Ba_Genus	AN_Ba_IDs	AN_Ba_LFC	AN_Ba_Genus
40576	4.363213295	Xenorhabdus	1639108	2.422174239	Chania	1218801	2.817830282	Kordia				2591463	3.316105369	Brevundimonas			
586	4.288234583	Providencia	586	2.419692625	Providencia	2686077	2.791405653	Winogradskyella				2069432	3.311479591	Tamlana			
1312072	4.269360423	Polaribacter	584609	2.413157649	Tenacibaculum	2518343	2.780745766	Acidovorax				128785	3.298549499	Pseudoxanthomonas			
2579935	4.255162808	Izhakiella	582	2.383533086	Morganella	1622118	2.776093635	Lutibacter				2719912	3.288525734	Leeuwenhoekiella			
639310	4.105856848	Olleya	2686365	2.365482812	Algibacter	1336796	2.77321494	Gillisia				417367	3.286265949	Paenisporosarcina			
983544	4.05761695	Lacinutrix	762954	2.362812032	Siansivirga	1867719	2.763251094	Phyllobacterium				1336796	3.274006779	Gillisia			
2172103	4.044121199	Limnobaculum	1622118	2.354254422	Lutibacter	417367	2.759598772	Paenisporosarcina				398743	3.272621165	Zunongwangia			
582	3.995421496	Morganella	2579935	2.335573085	Izhakiella	237258	2.719194248	Cloacibacterium				359408	3.241897269	Methylotenera			
762954	3.977669376	Siansivirga	718192	2.333946311	Litorilituus	2764720	2.705519611	Olivibacter				237258	3.212498421	Cloacibacterium			
718192	3.976869027	Litorilituus	2027857	2.32022077	Mariniflexile	2010972	2.698443651	Caulobacter				613	3.194420074	Serratia			
41202	3.969378211	Ewingella	320324	2.318056678	Formosa	1969821	2.694253247	Ciceribacter				2743470	3.110093206	Acidovorax			
584609	3.959030453	Tenacibaculum	1790137	2.301538416	Wenyingzhuangia	2529032	2.682577106	Oceanihabitans				1662285	3.10232986	Methylophilus			
1622118	3.929214019	Lutibacter	1218801	2.230190394	Kordia	613	2.64264234	Serratia				566	3.084210602	Pseudescherichia			
435897	3.919501789	Lysobacter	41202	2.213906546	Ewingella	2714927	2.631221474	Dysgonomonas				1836467	3.033984308	Maribacter			
2686365	3.904192576	Algibacter	43948	2.206154372	Tolumonas	2049305	2.630716795	Changchengzhania				1117645	3.021532552	Elizabethkingia			
2027857	3.897257747	Mariniflexile	247	2.203192191	Empedobacter	2069432	2.620910239	Tamlana				2767188	3.014111961	Amniculibacterium			
472834	3.850616179	Candidatus Purcelliella	979	2.199136196	Cellulophaga	2027857	2.613343617	Mariniflexile				1170699	3.007593258	Galbibacter			
1646377	3.839276928	Rouxiella	1971488	2.197349809	Candidatus Nardonella_1	160825	2.606461592	Comamonas				1729720	2.935906524	Salegentibacter			
1790137	3.833580698	Wenyingzhuangia	382	2.193669105	Sinorhizobium	2779527	2.578688572	Viridibacillus				2173169	2.914314529	Dokdonia			
320324	3.815286462	Formosa	217203	2.190720302	Achromobacter	1117645	2.55858809	Elizabethkingia				158877	2.888262487	Yokenella			
43948	3.798960042	Tolumonas	1803846	2.181357465	Flavivirga	398743	2.556655727	Zunongwangia				544	2.883751231	Citrobacter			
217203	3.770339948	Achromobacter	444051	2.163342005	Mesoflavibacter	1867715	2.53837666	Bosea				313588	2.876140797	Croceibacter			
1218801	3.729774331	Kordia	435897	2.151375711	Lysobacter	2173169	2.469040985	Dokdonia				101385	2.855099442	Aequorivita			
382	3.708268692	Sinorhizobium	2736252	2.14165511	Aquimarina	1729720	2.457327881	Salegentibacter				1972431	2.8372317	Phytobacter			
2218628	3.653170591	Photorhabdus	2686077	2.132638352	Winogradskyella	2767188	2.450710235	Amniculibacterium				1851514	2.833957494	Scandinavium			
979	3.652753603	Cellulophaga	472834	2.116945451	Candidatus Purcelliella	1836467	2.38796587	Maribacter				562	2.77953554	Escherichia			
247	3.640698931	Empedobacter	1646377	2.115567215	Rouxiella	1170699	2.338656636	Galbibacter				57029	2.770194956	Psychroflexus			
1803846	3.639127335	Flavivirga	401619	2.102010091	Candidatus Riesia	2719912	2.315049383	Leeuwenhoekiella				2779527	2.730643613	Viridibacillus			
444051	3.636958306	Mesoflavibacter	359408	2.098349684	Methylotenera	2728021	2.308542619	Duganella				28901	2.673574261	Salmonella			
401619	3.574723653	Candidatus Riesia	638	2.071292669	Arsenophonus	1678128	2.306151425	Limnohabitans				160825	2.661670088	Comamonas			
2686077	3.551813384	Winogradskyella	141451	2.059132646	Oleiphilus	2202149	2.300607978	Thermomonas				343403	2.647295937	Costertonia			
2736252	3.551621421	Aquimarina	2069432	2.0578486	Tamlana	81682	2.268074669	Methylovorus				2728835	2.646204377	Luteolibacter			
638	3.530114476	Arsenophonus	1241981	2.057434404	Epilithonimonas	1736675	2.265204678	Devosia				1014	2.622146932	Weeksella			
1082704	3.503051466	Lonsdalea	2218628	2.054744445	Photorhabdus	2303332	2.254675626	Cellvibrio				34085	2.614862241	Riemerella			
204037	3.484540956	Dickeya	2172103	2.025963241	Limnobaculum	2728835	2.238696155	Luteolibacter				225084	2.588661927	Erysipelothrix			
141451	3.477687105	Oleiphilus	1662285	2.007543837	Methylophilus	370777	2.192266521	Arenimonas				1383885	2.583679486	Flagellimonas			
1662285	3.465317936	Methylophilus	2572594	2.002612697	Myroides	313588	2.173128234	Croceibacter				1453352	2.570143886	Sediminicola			
1241981	3.455850943	Epilithonimonas	496014	-2.004177834	Baekduia	1972431	2.166551683	Phytobacter				151895	2.559860385	Pseudopedobacter			
359408	3.454128185	Methylotenera	1839	-2.013396719	Nocardioides	106	2.165093438	Runella				84590	2.558151096	Taylorella			
2069432	3.434175341	Tamlana	477641	-2.062589464	Modestobacter	629	2.161382825	Yersinia				2774055	2.552721044	Kluyvera			
929813	3.396564885	Gibbsiella	138336	-2.140550116	Blastococcus	1006576	2.161322802	Defluviitoga				2371	2.548068439	Xylella			
1445505	3.390031751	Gynuella	482564	-2.94268593	Oscillatoria	2591463	2.157315854	Brevundimonas				629	2.53161577	Yersinia			
1737490	3.360179531	Agarilytica				1972134	2.153731043	Candidatus Nardonella				1717717	2.519503857	Labilibaculum			
2572594	3.35912	Myroides				34085	2.142223322	Riemerella				2126553	2.516102063	Gramella			
138072	3.353523682	Candidatus Hamiltonella				114186	2.136155475	Candidatus Carsonella				179636	2.508466324	Alicycliphilus			
114186	3.345984447	Candidatus Carsonella				364317	2.133649347	Verminephrobacter				616991	2.507173047	Arenibacter			
1936081	3.294114713	Seonamhaeicola				1014	2.104234147	Weeksella				1761453	2.505513831	Euzebyella			
451	3.291435853	Tatlockia				80880	2.102574358	Hylemonella				1842727	2.497236301	Rhodoferax			
1302411	3.27793791	Candidatus Annandia				1844971	2.102300969	Curvibacter				2562285	2.496483043	Altibacter			
1336796	3.269960945	Gillisia				1443036	2.088256334	Vespertiliibacter				191579	2.484774978	Fluviicola			
398743	3.266093908	Zunongwangia				998844	2.085858621	Allopseudarcicella				296591	2.459155225	Polaromonas			
2049305	3.250728432	Changchengzhania				718192	2.05598163	Litorilituus				1564138	2.446212016	Aliarcobacter			
106592	3.233605635	Ensifer				1750719	2.047250563	Kurthia				80880	2.444797711	Hylemonella			
1778262	3.180876542	Candidatus Doolittlea				2761107	2.021876282	Luteimonas				528	2.434419436	Ochrobactrum			
1778263	3.163708167	Candidatus Hoaglandella				63186	2.009666386	Zobellia				165697	2.424666928	Sphingopyxis			
2764720	3.163115308	Olivibacter				158500	2.007434682	Novosphingobium				331648	2.417690634	Nonlabens			
2714926	3.135409723	Dysgonomonas				109472	2.005294178	Bisgaardia				1867719	2.412931354	Phyllobacterium			
1117645	3.11491545	Elizabethkingia				2036206	-2.063342002	Suicoccus				1006576	2.403776326	Defluviitoga			
2126321	3.114577236	Nissabacter										2108365	2.389726274	Tepiditoga			
747	3.080169455	Pasteurella										1678128	2.388618688	Limnohabitans			
2529032	3.069293723	Oceanihabitans										266749	2.387982412	Kaistella			
668	3.06399507	Aliivibrio										1372	2.384554187	Planococcus			
879274	3.05415387	Shinella										158500	2.370167355	Novosphingobium			
71655	3.039852592	Brenneria										2697032	2.35563279	Xylophilus			
459472	3.030539734	Planomicrobium										1755811	2.354649284	Paraphotobacterium			
1170699	3.01522307	Galbibacter										1969821	2.352825535	Ciceribacter			
1553431	2.993261563	Mycoavidus										1016	2.341462715	Capnocytophaga			
731	2.97840164	Histophilus										2116657	2.334768531	Pulveribacter			
237258	2.967961595	Cloacibacterium										370777	2.320454979	Arenimonas			
55206	2.967391101	Sediminispirochaeta										2714927	2.313167581	Dysgonomonas			
1836467	2.939436496	Maribacter										754429	2.311901825	Gilvibacter			
128785	2.890229255	Pseudoxanthomonas										2479367	2.310033715	Buttiauxella			
2748	2.865278349	Carnobacterium										2594003	2.292281171	Ferrovibrio			
1878942	2.845628442	Candidatus Fukatsuia										364317	2.230939986	Verminephrobacter			
2494375	2.831781607	Aequorivita										2058175	2.22845223	Antarcticibacterium			
1729720	2.813072851	Salegentibacter										565	2.225918372	Atlantibacter			
703	2.79789015	Plesiomonas										2213194	2.203659478	Paraliobacillus			
2719912	2.795752706	Leeuwenhoekiella										1736675	2.19052719	Devosia			
528	2.748837403	Ochrobactrum										43663	2.187782342	Paenarthrobacter			
83771	2.742348584	Succinivibrio										63186	2.173166042	Zobellia			
109472	2.73963951	Bisgaardia										1844971	2.170989201	Curvibacter			
313588	2.711877489	Croceibacter										158822	2.170165763	Cedecea			
158841	2.702558589	Leminorella										998844	2.165946634	Allopseudarcicella			
2371	2.688599705	Xylella										2583452	2.16534867	Amedibacterium			
326319	2.686268158	Dokdonia										1715720	2.163074453	Diaphorobacter			
2213226	2.672027233	Entomomonas										1750719	2.149791636	Kurthia			
1849015	2.623361971	Pseudoarcobacter										40576	2.12630362	Xenorhabdus			
191579	2.620879289	Fluviicola										2487150	2.121650449	Metakosakonia			
750	2.606071297	Gallibacterium										2716225	2.095525124	Hydrogenophaga			
